一,,,
one or 1,1,one,
(cooked) rice; meal,meal,cooked rice,
お酒,,,
alcohol,,,
お金,,,
money,,,
お母さん,,,
mom; mother,mother,mom,
お父さん,,,
dad; father,father,dad,
おじいさん,,,
grandfather; old man,old man,grandfather,
おばあさん,,,
grandmother; old woman,old woman,grandmother,
お菓子,,,
sweets; confections,confections,sweets,
お茶,,,
tea,,,
お皿 pronunciation,,,
おさら,,,
ご飯 pronunciation,,,
ごはん,,,
お酒 pronunciation,,,
おさけ,,,
お金 pronunciation,,,
おかね,,,
お母さん pronunciation,,,
おかあさん,,,
お父さん pronunciation,,,
おとうさん,,,
おじいさん pronunciation,,,
おじいさん,,,
おばあさん pronunciation,,,
おばあさん,,,
お菓子 pronunciation,,,
おかし,,,
お茶 pronunciation,,,
おちゃ,,,
女の子,,,
girl,,,
男の子,,,
boy,,,
おじさん,,,
uncle; man,man,uncle,
おばさん,,,
aunt; woman,woman,aunt,
兄,,,
older brother,,,
お兄さん,,,
elder brother; young man,young man,elder brother,
姉,,,
older sister,,,
お姉さん,,,
elder sister; young woman,young woman,elder sister,
弟,,,
younger brother,,,
妹,,,
younger sister,,,
女の子 pronunciation,,,
おんなのこ,,,
男の子 pronunciation,,,
おとこのこ,,,
おじさん pronunciation,,,
おじさん,,,
おばさん pronunciation,,,
おばさん,,,
兄 pronunciation,,,
あに,,,
お兄さん pronunciation,,,
おにいさん,,,
姉 pronunciation,,,
あね,,,
お姉さん pronunciation,,,
おねえさん,,,
弟 pronunciation,,,
おとうと,,,
妹 pronunciation,,,
いもうと,,,
私,,,
I (common),I,,
僕,,,
I (male),I,,
俺,,,
I (casual male),I,,
奥さん,,,
wife,,,
旦那さん,,,
husband,,,
ご主人,,,
(your) husband,husband,your husband,
名前,,,
name,,,
今日,,,
today,,,
昨日,,,
yesterday,,,
明日,,,
tomorrow,,,
私 pronunciation,,,
わたし,,,
僕 pronunciation,,,
ぼく,,,
俺 pronunciation,,,
おれ,,,
奥さん pronunciation,,,
おくさん,,,
旦那さん pronunciation,,,
だんなさん,,,
ご主人 pronunciation,,,
ごしゅじん,,,
名前 pronunciation,,,
なまえ,,,
今日 pronunciation,,,
きょう,,,
昨日 pronunciation,,,
きのう,,,
明日 pronunciation,,,
あした or あす,あした,あす,
暗い,,,
dark,,,
熱い,,,
hot; sultry,sultry,hot,
寒い,,,
cold,,,
重い,,,
heavy,,,
面白い,,,
interesting,,,
甘い,,,
sweet,,,
暖かい,,,
warm (to the touch),warm,,
新しい,,,
new,,,
辛い,,,
spicy,,,
冷たい,,,
cold (to the touch); chilly,chilly,cold,cold to the touch
暗い pronunciation,,,
くらい,,,
熱い pronunciation,,,
あつい,,,
寒い pronunciation,,,
さむい,,,
重い pronunciation,,,
おもい,,,
面白い pronunciation,,,
おもしろい,,,
甘い pronunciation,,,
あまい,,,
暖かい pronunciation,,,
あたたかい,,,
新しい pronunciation,,,
あたらしい,,,
辛い pronunciation,,,
からい,,,
冷たい pronunciation,,,
つめたい,,,
大変,,,
hard; immense; difficult,hard,immense,difficult
有名,,,
famous,,,
静か,,,
quiet,,,
便利,,,
convenient,,,
大切,,,
important,,,
必要,,,
necessary,,,
立派,,,
splendid,,,
まじめ,,,
serious,,,
嫌,,,
disliking; unplesant,disliking,unplesant,
賑やか,,,
bustling; lively,bustling,lively,
大変 pronunciation,,,
たいへん,,,
有名 pronunciation,,,
ゆうめい,,,
静か pronunciation,,,
しずか,,,
便利 pronunciation,,,
べんり,,,
大切 pronunciation,,,
たいせつ,,,
必要 pronunciation,,,
ひつよう,,,
立派 pronunciation,,,
りっぱ,,,
まじめ pronunciation,,,
まじめ,,,
嫌 pronunciation,,,
いや,,,
賑やか pronunciation,,,
にぎやか,,,
十一,,,
eleven,,,
人間,,,
human,,,
百,,,
hundred,100,,
二百,,,
two hundred,200,,
強い,,,
powerful; strong,powerful,strong,
弱い,,,
weak,,,
近い,,,
near,,,
広い,,,
wide; spacious,spacious,wide,
多い,,,
many,,,
本,,,
book,,,
十一 pronunciation,,,
じゅういち,,,
人間 pronunciation,,,
にんげん,,,
百 pronunciation,,,
ひゃく,,,
二百 pronunciation,,,
にひゃく,,,
強い pronunciation,,,
つよい,,,
弱い pronunciation,,,
よわい,,,
近い pronunciation,,,
ちかい,,,
広い pronunciation,,,
ひろい,,,
多い pronunciation,,,
おおい,,,
本 pronunciation,,,
ほん,,,
